@RELATION characters
@ATTRIBUTE name  STRING
@ATTRIBUTE culture  {"ironborn" , "northmen" , "freefolk" , "braavosi" , "valyrian" , "ghiscari" , "dothraki" , "dornish" , "westeros" , "mountainclans" , "tyroshi" , "qaren" , "ironmen"}
@ATTRIBUTE allegiance  {"Allyrion","Ambrose","Arryn","Ashford","Baelish","Ball","Banefort","Bar","Baratheon","Beesbury","Belmore","Bettley","Blackbar","Blackberry","Blackfyre","Blackmont","Blacktyde","Blackwood","Blanetree","Blount","Boggs","Bolling","Bolton","Borrell","Botley","Bracken","Brax","Broom","Brune","Buckler","Bulwer","Bushy","Butterwell","Byrch","Bywater","Cafferen","Caron","Cassel","Caswell","Celtigar","Cerwyn","Charlton","Chelsted","Chester","Chyttering","Clegane","Clifton","Cockshaw","Codd","Coldwater","Cole","Condon","Conklyn","Connington","Corbray","Costayne","Cox","Crabb","Crakehall","Crane","Cupps","Cuy","Dalt","Darklyn","Darry","Dayne","Deddings","Dondarrion","Drinkwater","Drumm","Dustin","Egen","Erenford","Errol","Estermont","Estren","Farman","Farring","Farwynd","Fell","Flint","Florent","Foote","Fossoway","Fowler","Frey","Gargalen","Gaunt","Glover","Goodbrook","Goodbrother","Gower","Graceford","Grafton","Grandison","Greenfield","Grell","Greyjoy","Grimm","Haigh","Harclay","Hardy","Hardyng","Harlaw","Hasty","Hawick","Hayford","Hetherspoon","Hewett","Hightower","Hoare","Hogg","Hollard","Hornwood","Horpe","Humble","Hunt","Hunter","Inchfield","Ironmaker","Jast","Jordayne","Karstark","Kenning","Kettleblack","Lannister","Lefford","Leygood","Liddle","Locke","Longthorpe","Lonmouth","Lorch","Lothston","Lychester","Lydden","Lynderly","Mallery","Mallister","Manderly","Manwoody","Marbrand","Martell","Massey","Meadows","Merlyn","Merryweather","Mertyns","Mollen","Moore","Mooton","Moreland","Mormont","Morrigen","Mudd","Mullendore","Myre","Nayland","Norcross","Norrey","Norridge","Nymeros","Oakheart","Osgrey","Paege","Payne","Peake","Peckledon","Penrose","Piper","Plumm","Poole","Potter","Prester","Qorgyle","Rambton","Redbeard","Redfort","Redwyne","Reed","Reyne","Rhysling","Risley","Roote","Rosby","Rowan","Royce","Ruttiger","Ryger","Rykker","Ryswell","Santagar","Sarsfield","Sawyer","Seaworth","Selmy","Serry","Sharp","Shepherd","Shett","Slynt","Smallwood","Sparr","Spicer","Stackspear","Staedmon","Stark","Staunton","Stokeworth","Stonehouse","Stonetree","Stout","Strickland","Strong","Sunderland","Sunglass","Swann","Swyft","Tallhart","Targaryen","Tarly","Tarth","Tawney","Templeton","Thorne","Toland","Tollett","Toyne","Trant","Tully","Turnberry","Tyrell","Uffering","Uller","Umber","Vaith","Vance","Varner","Velaryon","Vikary","Volmark","Vypren","Vyrwel","Wagstaff","Wayn","Waynwood","Weaver","Webber","Wells","Wellsofthe","Westerling","Whent","Willum","Wode","Woods","Woolfield","Wull","Wylde","Wynch","Wythers","Yew","Yronwood"}
@ATTRIBUTE born  NUMERIC
@ATTRIBUTE title  {"Iron King" , "King in the North" , "Hand of the King" , "King" , "Princess" , "Prince" , "Lord Commander" , "Queen" , "Lady" , "Knight" , "Commander" , "Captain" , "Grand Maester" , "Archmaester" , "Maester" , "Master" , "Admiral" , "Lord" , "Sword" , "Steward" , "Cupbearer" , "Septa" , "Septon" , "Wisdom" , "Shield" , "Khal" , "Bloodrider" , "Castellan" , "Ser"}
<<<<<<< HEAD
@ATTRIBUTE isAlive {'dead','alive'}
@DATA
"Lucifer Hardy",?,Hardy,?,"Lord","alive"
"Lucimore Botley","ironborn",Botley,?,?,"alive"
"Lucion Lannister",?,Lannister,?,"Ser","alive"
"Luco Prestayn",?,?,?,?,"alive"
"Lucos",?,?,?,"Septon","alive"
"Lucos Chyttering",?,Chyttering,783,"Lord","alive"
"Luke of Longtown",?,?,?,?,"alive"
"Lum",?,Lannister,?,?,"alive"
"Luthor Tyrell",?,Tyrell,?,"Lord","alive"
"Luthor Tyrell (son of Moryn)",?,Tyrell,?,"Ser","alive"
"Luthor Tyrell (son of Theodore)",?,Tyrell,?,?,"alive"
"Luton","northmen",Bolton,?,?,"dead"
"Luwin","westeros",Stark,?,?,"dead"
"Lyanna Mormont","northmen",Mormont,790,?,"alive"
"Lyanna Stark","northmen",Stark,766,?,"dead"
"Lyessa Flint","northmen",Flint,?,"Lady","alive"
"Lyle Crakehall",?,Crakehall,?,"Ser","alive"
"Lyman Beesbury",?,Beesbury,548,"Master","dead"
"Lyman Darry",?,Darry,790,"Lord","dead"
"Lymond Goodbrook",?,Goodbrook,?,"Lord","alive"
"Lymond Lychester",?,Lychester,?,"Lord","alive"
"Lymond Mallister",?,Mallister,?,"Lord","alive"
"Lymond Vikary",?,Vikary,?,"Ser","alive"
"Lyn Corbray",?,Corbray,?,"Ser","alive"
"Lync",?,?,?,?,"alive"
"Lynesse Hightower",?,Hightower,?,?,"alive"
"Lyonel (knight)",?,?,?,"Ser","alive"
"Lyonel Baratheon",?,Baratheon,?,"Ser","alive"
"Lyonel Bentley",?,?,?,"Ser","dead"
"Lyonel Corbray",?,Corbray,760,"Lord","alive"
"Lyonel Frey",?,Frey,759,"Ser","alive"
"Lyonel Selmy",?,Selmy,?,"Knight","alive"
"Lyonel Strong",?,Strong,?,"Hand of the King","dead"
"Lyonel Tyrell (lord)",?,Tyrell,?,"Lord","dead"
"Lyonel Tyrell (son of Leo)",?,Tyrell,?,?,"alive"
"Lyra Mormont","northmen",Mormont,777,?,"alive"
"Lys",?,?,?,?,"alive"
"Lysa Meadows",?,Meadows,?,?,"alive"
"Lysa Tully",?,Arryn,766,"Lady","dead"
"Lysono Maar",?,?,?,?,"alive"
"Lythene Frey",?,Frey,751,?,"alive"
"Mace Tyrell",?,Tyrell,756,"Hand of the King","alive"
"Mad Huntsman",?,?,?,?,"alive"
"Maddy",?,Arryn,?,?,"alive"
"Maege Mormont","northmen",Mormont,739,"Lady","alive"
"Maegelle Frey",?,Frey,749,?,"alive"
"Maegor I Targaryen",?,?,512,"Hand of the King","dead"
"Maekar I",?,?,?,?,"alive"
"Maekar Targaryen",?,?,?,?,"alive"
"Maelor Targaryen",?,Targaryen,627,"Prince","dead"
"Maelys Blackfyre",?,?,?,?,"alive"
"Maerie (Goodwife)",?,?,?,?,"dead"
"Maerie (Whore)",?,?,?,?,"dead"
"Mag Mar Tun Doh Weg",?,?,?,?,"dead"
"Maggy",?,?,?,?,"alive"
"Mago","dothraki",?,?,"Khal","alive"
"Malcolm",?,?,?,"Ser","alive"
"Mallador Locke",?,?,?,"Ser","dead"
"Malleon",?,?,?,"Grand Maester","alive"
"Malliard",?,?,?,"Wisdom","alive"
"Mallor",?,Lannister,?,?,"alive"
"Mallor (Knight)",?,?,?,"Ser","alive"
"Malwyn Frey",?,Frey,784,?,"alive"
"Mandon Moore",?,Moore,?,"Ser","dead"
"Manfred Dondarrion",?,Dondarrion,?,"Ser","alive"
"Manfred Lothston",?,Lothston,?,?,"alive"
"Manfred Swann",?,Swann,?,"Ser","alive"
"Manfrey Martell","dornish",Martell,?,"Castellan","alive"
"Manfryd Lothston",?,Lothston,?,?,"alive"
"Manfryd Yew",?,Yew,?,"Ser","alive"
"Marei",?,?,780,?,"alive"
"Margaery Tyrell","westeros",Tyrell,783,"King","alive"
"Marghaz zo Loraq","ghiscari",?,?,?,"alive"
"Margot Lannister",?,Lannister,?,?,"alive"
"Marianne Vance",?,Vance,762,?,"alive"
"Maric Seaworth",?,Seaworth,?,?,"dead"
"Marillion",?,?,779,?,"dead"
"Maris","freefolk",?,?,?,"alive"
"Marissa Frey",?,Frey,786,?,"alive"
"Mariya Darry","westeros",Darry,?,?,"alive"
"Mark Mullendore",?,Mullendore,?,"Ser","alive"
"Mark Ryswell",?,Ryswell,?,"Ser","dead"
"Marlon Manderly",?,Manderly,?,"Commander","alive"
"Maron Botley",?,Botley,?,?,"alive"
"Maron Greyjoy","ironborn",Greyjoy,775,?,"dead"
"Maron Martell",?,Martell,?,"Prince","alive"
"Maron Volmark","ironborn",Volmark,783,"Lord","alive"
"Marq Grafton",?,Grafton,?,?,"dead"
"Marq Piper",?,Piper,?,"Ser","alive"
"Marq Rankenfell",?,?,?,"Lord Commander","alive"
"Marsella Waynwood",?,Waynwood,?,?,"alive"
"Martyn Cassel","northmen",Cassel,?,?,"dead"
"Martyn Lannister",?,Lannister,?,?,"alive"
"Martyn Mullendore",?,Mullendore,?,"Lord","alive"
"Martyn Rivers",?,Frey,?,?,"alive"
"Marwyn",?,?,?,"Archmaester","alive"
"Marwyn Belmore",?,Belmore,?,"Ser","alive"
"Marya Seaworth",?,Seaworth,?,"Lady","alive"
"Masha Heddle",?,?,?,?,"dead"
"Maslyn",?,?,?,?,"dead"
"Matarys Targaryen",?,Targaryen,684,"Prince","dead"
"Mathis Frey",?,Frey,794,?,"alive"
"Mathis Rowan",?,Rowan,?,"Lord","alive"
"Mathos Mallarawan","qaren",?,?,?,"alive"
"Matrice",?,Baratheon,?,?,"alive"
"Matt",?,?,?,?,"dead"
"Matthar",?,?,?,?,"alive"
"Matthos Seaworth",?,Seaworth,?,?,"dead"
"Mawney",?,?,?,?,"dead"
"Maynard",?,?,?,"Ser","alive"
"Maynard Plumm",?,Plumm,?,"Ser","alive"
"Mazdhan zo Loraq","ghiscari",?,?,?,"alive"
"Mebble",?,?,?,?,"alive"
"Medgar Tully",?,Tully,?,"Lord","dead"
"Medger Cerwyn","northmen",Cerwyn,?,"Lord","dead"
"Medwick Tyrell",?,?,?,"Maester","alive"
"Meera Reed",?,Reed,783,?,"alive"
"Meg",?,?,?,?,"alive"
"Megga Tyrell",?,Tyrell,786,?,"alive"
"Meha","freefolk",?,?,?,"alive"
"Meizo Mahr",?,?,?,?,"alive"
"Mela",?,Arryn,?,?,"alive"
"Melaquin",?,?,?,"Maester","alive"
"Melara Crane",?,Crane,?,?,"alive"
"Melara Hetherspoon",?,Hetherspoon,764,?,"dead"
"Meldred Merlyn","ironborn",Merlyn,?,"Lord","alive"
"Melesa Crakehall",?,Crakehall,?,?,"alive"
"Melessa Florent",?,Florent,?,?,"alive"
"Meliana",?,?,?,?,"alive"
"Melicent",?,?,?,"Septa","alive"
"Melisandre",?,?,?,?,"alive"
"Melissa Blackwood",?,Blackwood,656,?,"alive"
"Mellara Rivers",?,Frey,?,?,"alive"
"Mellei",?,Martell,?,?,"alive"
"Mellos",?,?,?,"Grand Maester","alive"
"Melly",?,?,?,?,"alive"
"Melwyn Sarsfield",?,Sarsfield,?,"Ser","alive"
"Melwys Rivers",?,?,?,"Maester","alive"
"Meralyn","braavosi",?,?,?,"alive"
"Meredyth Crane",?,Crane,?,?,"alive"
"Merianne Frey",?,Frey,788,?,"alive"
"Meribald",?,?,747,"Septon","alive"
"Merling Queen","braavosi",?,?,?,"alive"
"Merlon Crakehall",?,Crakehall,?,"Ser","alive"
"Mern Gardener",?,?,?,?,"alive"
"Mero","braavosi",?,?,?,"dead"
"Merrell Florent",?,Florent,?,?,"alive"
"Merrett Frey",?,Frey,762,?,"dead"
"Merrit",?,?,?,?,"alive"
"Merry Meg",?,?,?,?,"alive"
"Meryn Trant",?,Trant,?,"Ser","alive"
"Mezzara","ghiscari",?,?,"Cupbearer","alive"
"Michael Mertyns",?,Mertyns,?,"Ser","alive"
"Mikken",?,Stark,?,?,"dead"
"Miklaz","ghiscari",?,?,"Cupbearer","alive"
"Mina Tyrell",?,Tyrell,?,?,"alive"
"Minisa Whent",?,Whent,?,?,"dead"
"Mirri Maz Duur",?,?,757,?,"dead"
"Missandei",?,Targaryen,788,?,"alive"
"Moelle",?,?,?,"Septa","alive"
"Mohor",?,Bracken,?,?,"dead"
"Mollander",?,?,?,?,"alive"
"Mollos",?,?,?,"Archmaester","alive"
"Monford Velaryon",?,Velaryon,?,"Master","dead"
"Monster","freefolk",?,799,?,"alive"
"Monterys Velaryon",?,Velaryon,793,"Master","alive"
"Moon Boy",?,Baratheon,?,?,"alive"
"Moonshadow",?,?,?,?,"alive"
"Moqorro",?,?,?,?,"alive"
"Mord",?,Arryn,?,?,"alive"
"Mordane",?,Stark,?,"Septa","dead"
"Moredo Prestayn","braavosi",?,?,"Captain","alive"
"Moreo Tumitis",?,?,768,?,"alive"
"Morgarth",?,Baelish,?,"Ser","alive"
"Morgil",?,?,?,?,"alive"
"Moribald Chester",?,Chester,?,"Lord","alive"
"Morna White Mask","freefolk",?,?,?,"alive"
"Moro","dothraki",?,?,"Khal","alive"
"Morosh the Myrman",?,?,?,?,"alive"
"Morra",?,Martell,?,?,"alive"
"Morrec",?,Lannister,?,?,"dead"
"Morros Slynt",?,Slynt,?,"Lord","alive"
"Mors Manwoody",?,Manwoody,?,?,"alive"
"Mors Martell",?,Martell,?,"Prince","alive"
"Mors Martell (brother of Doran)",?,Martell,748,?,"dead"
"Mors Umber",?,Umber,735,"Castellan","alive"
"Mortimer Boggs",?,Boggs,?,"Ser","alive"
"Morton Waynwood",?,Waynwood,?,"Ser","alive"
"Morya Frey",?,Frey,768,"Lady","alive"
"Moryn Tyrell",?,Tyrell,?,"Lord Commander","alive"
"Most Devout",?,?,?,?,"alive"
"Mother Mole","freefolk",?,?,?,"alive"
"Mudge",?,Osgrey,?,?,"alive"
"Mudge (miller)",?,?,?,?,"dead"
"Mullin",?,?,?,"Maester","alive"
"Mully",?,?,?,?,"alive"
"Munciter",?,?,?,"Wisdom","alive"
"Munda","freefolk",?,?,?,"alive"
"Murch",?,?,?,?,"alive"
"Murch (Winterfell)","northmen",Stark,?,?,"alive"
"Murenmure",?,?,?,"Maester","alive"
"Murmison",?,?,?,"Hand of the King","dead"
"Mushroom",?,Targaryen,?,?,"dead"
"Muttering Bill",?,?,?,?,"dead"
"Mya Stone",?,Royce,779,?,"alive"
"Mycah","westeros",?,785,?,"dead"
"Mychel Redfort",?,Redfort,?,"Ser","alive"
"Mylenda Caron",?,Caron,758,?,"alive"
"Myles",?,Martell,?,"Maester","alive"
"Myles (squire)",?,?,?,?,"dead"
"Myles Manwoody",?,Manwoody,?,"Ser","alive"
"Myles Mooton",?,Mooton,?,"Ser","dead"
"Myles Smallwood",?,Smallwood,?,"Hand of the King","alive"
"Myranda Royce",?,Royce,779,?,"alive"
"Myrcella Baratheon",?,Baratheon,790,"Princess","alive"
"Myria Jordayne",?,Jordayne,?,?,"alive"
"Myriah Martell",?,?,?,?,"alive"
"Myrielle Lannister",?,Lannister,?,?,"alive"
"Myrtle","freefolk",?,?,?,"dead"
"Mysaria",?,?,?,?,"alive"
"Naerys Targaryen","valyrian",Targaryen,638,"Princess","dead"
"Nage",?,Bolton,?,?,"alive"
"Nail",?,?,?,?,"alive"
"Nan",?,Stark,?,?,"alive"
"Narbert",?,?,?,?,"alive"
"Narbo","braavosi",?,?,?,"alive"
"Ned (ferryman)",?,?,?,?,"alive"
"Ned Woods",?,Woods,?,?,"alive"
"Nella","freefolk",?,?,?,"alive"
"Nestor Royce",?,Royce,?,"Steward","alive"
"Nettles",?,?,613,?,"alive"
"Nightingale",?,?,?,?,"alive"
"Nissa Nissa",?,?,?,?,"alive"
"Noho Dimittis","braavosi",?,?,?,"alive"
"Nolla",?,?,?,?,"dead"
"Norbert Vance",?,Vance,?,"Lord","alive"
"Norjen","ironmen",?,?,?,"alive"
"Normund Tyrell",?,?,?,"Maester","alive"
"Norne Goodbrother","ironborn",Goodbrother,?,"Lord","alive"
"Norren",?,?,?,"Archmaester","alive"
"Notch",?,?,?,?,"alive"
"Nute","ironborn",Greyjoy,?,"Lord","alive"
"Nymella Toland","dornish",Toland,?,"Lady","alive"
"Nymeria",?,Martell,?,"Princess","alive"
"Nymeria Sand","dornish",Martell,774,?,"alive"
"Nymos",?,?,?,"Archmaester","alive"
"Nysterica",?,?,?,"Septa","alive"
"Obara Sand","dornish",Martell,771,?,"alive"
"Obella Sand","dornish",Martell,787,?,"alive"
"Oberyn Martell","dornish",Martell,757,"Prince","dead"
"Ocley",?,?,?,"Archmaester","alive"
"Ogo","dothraki",?,?,"Khal","dead"
"Old Crackbones",?,?,?,?,"alive"
"Old Grey Gull","ironborn",?,?,?,"alive"
"Old Henly",?,?,720,?,"dead"
"Old Tattersalt",?,?,?,?,"alive"
"Oldtown",?,?,?,?,"alive"
"Olene Tyrell",?,Tyrell,?,?,"alive"
"Olenna Redwyne",?,Redwyne,728,"Lady","alive"
"Ollidor",?,?,?,"Septon","alive"
"Ollo Lophand","tyroshi",?,?,?,"dead"
"Olymer Tyrell",?,Tyrell,?,"Ser","alive"
"Olyvar Frey",?,Frey,781,?,"alive"
"Olyvar Oakheart",?,Oakheart,?,"Ser","dead"
"Omer Blackberry",?,Blackberry,?,?,"alive"
"Omer Florent",?,?,?,"Maester","alive"
"Ondrew Locke","northmen",Locke,?,"Lord","alive"
"Orbelo","braavosi",?,?,?,"alive"
"Orbert Caswell",?,Caswell,?,"Lord Commander","dead"
"Ordello",?,?,?,?,"dead"
"Orell","freefolk",?,?,?,"dead"
"Orivel",?,?,?,"Ser","alive"
"Orland of Oldtown",?,Baratheon,?,?,"alive"
"Ormond",?,?,?,"Ser","dead"
"Ormond Osgrey",?,Osgrey,?,"Lord","alive"
"Ormund Wylde",?,Wylde,?,"Ser","alive"
"Oro Tendyris","braavosi",?,?,?,"alive"
"Orphan Oss",?,?,?,?,"dead"
"Orton Merryweather",?,Merryweather,?,"Hand of the King","alive"
"Orwyle",?,?,?,"Grand Maester","alive"
"Orys Baratheon",?,Baratheon,?,"Hand of the King","dead"
"Osbert Serry",?,Serry,?,"Lord","alive"
"Osfryd Kettleblack",?,Kettleblack,?,"King","alive"
"Osha","freefolk",Stark,?,?,"alive"
"Osmund Frey",?,Frey,797,?,"alive"
"Osmund Kettleblack",?,Kettleblack,?,"Ser","alive"
"Osmynd",?,?,?,"Septon","alive"
"Osney Kettleblack",?,Kettleblack,?,"Ser","alive"
"Ossifer Plumm",?,Plumm,?,"Lord","alive"
"Ossy",?,Royce,?,?,"alive"
"Oswell Kettleblack",?,Kettleblack,?,?,"alive"
"Oswell Whent",?,Whent,?,"Ser","dead"
"Oswyn",?,?,?,?,"alive"
"Othell Yarwyck",?,?,?,?,"alive"
"Otho Bracken",?,Bracken,?,"Ser","alive"
"Othor",?,?,?,?,"dead"
"Otter Gimpknee",?,?,?,?,"alive"
"Otto Hightower",?,Hightower,?,"Hand of the King","dead"
"Ottomore",?,?,?,?,"alive"
"Ottyn Wythers",?,Wythers,730,"Ser","dead"
"Owen",?,?,?,?,"alive"
"Owen (brother of Meribald)",?,?,?,?,"dead"
"Owen Inchfield",?,Inchfield,?,"Ser","alive"
"Owen Norrey","mountainclans",Norrey,?,?,"dead"
"Oznak zo Pahl",?,?,?,?,"dead"
"Palla","northmen",Stark,?,?,"alive"
"Parmen Crane",?,Crane,?,"Ser","alive"
"Patchface",?,Baratheon,?,?,"alive"
"Pate",?,?,?,?,"alive"
"Pate (King's Landing)",?,Baratheon,791,?,"alive"
"Pate (Lancewood)",?,?,?,?,"dead"
"Pate (Mory)",?,?,?,?,"dead"
"Pate (Night's Watch)",?,?,?,?,"alive"
"Pate (Old)",?,?,?,?,"dead"
"Pate (Pinchbottom)",?,?,?,?,"dead"
"Pate (Shermer's Grove)",?,?,?,?,"dead"
"Pate (Standfast)",?,Osgrey,661,?,"alive"
"Pate of the Blue Fork",?,Frey,?,"Ser","dead"
"Patrek Mallister",?,Mallister,?,?,"alive"
"Patrek Vance",?,Vance,764,?,"alive"
"Paxter Redwyne",?,Redwyne,?,"Master","alive"
"Pearse Caron",?,Caron,?,"Lord","alive"
"Pebbleton",?,?,?,?,"alive"
"Penny",?,?,781,?,"alive"
"Penny Jenny",?,?,?,?,"dead"
"Pentos",?,?,?,?,"alive"
"Perra Frey",?,Frey,794,?,"alive"
"Perriane Frey",?,Haigh,741,?,"alive"
"Perros Blackmont","dornish",Blackmont,?,?,"alive"
"Perwyn Frey",?,Frey,770,"Ser","alive"
"Perwyn Osgrey",?,Osgrey,?,"Lord","alive"
"Peter Plumm",?,Plumm,?,"Ser","alive"
"Petyr Baelish","westeros",Baelish,768,"Master","alive"
"Petyr Frey",?,Frey,781,?,"dead"
"Philip Foote",?,Foote,?,"Lord","alive"
"Philip Plumm",?,Plumm,?,"Lord","alive"
"Pia",?,Whent,?,?,"alive"
"Plummer",?,Ashford,?,"Steward","alive"
"Podrick Payne",?,Payne,786,?,"alive"
"Poetess",?,?,?,?,"alive"
"Pollitor",?,?,?,"Wisdom","alive"
"Polliver",?,Clegane,?,"Castellan","dead"
"Pono","dothraki",?,?,"Khal","alive"
"Porridge",?,Baratheon,?,?,"alive"
"Porther","northmen",Stark,?,?,"alive"
"Portifer Woodwright",?,?,?,"Ser","alive"
"Poul Pemford",?,Tully,?,?,"dead"
"Poxy Tym","northmen",Stark,?,?,"dead"
"Praed",?,?,?,?,"dead"
"Prendahl na Ghezn","ghiscari",?,?,?,"dead"
"Preston Greenfield",?,Greenfield,?,"Ser","dead"
"Puckens",?,Lannister,?,?,"alive"
"Pudding",?,?,?,?,"alive"
"Puddingfoot",?,?,?,?,"alive"
"Pyat Pree",?,?,?,?,"alive"
"Pycelle",?,?,716,"Grand Maester","dead"
"Pyg",?,?,?,?,"dead"
"Pylos",?,?,773,"Maester","alive"
"Pypar",?,?,?,?,"alive"
"Qalen",?,Greyjoy,?,"Maester","dead"
"Qarl Correy",?,Velaryon,?,"Ser","alive"
"Qarl Kenning","ironborn",Kenning,?,?,"alive"
"Qarl Quickaxe","ironmen",?,?,?,"alive"
"Qarl Shepherd","ironborn",Shepherd,?,?,"alive"
"Qarl the Maid","ironborn",?,?,?,"alive"
"Qarl the Thrall","ironborn",?,?,?,"alive"
"Qarlton Chelsted",?,Chelsted,?,"Hand of the King","dead"
"Qarro Volentin","braavosi",?,?,"Sword","alive"
"Qezza","ghiscari",?,?,"Cupbearer","alive"
"Qhorin Halfhand",?,?,?,?,"dead"
"Qos",?,?,?,"Captain","alive"
"Qotho","dothraki",?,?,"Khal","dead"
"Quaithe",?,?,?,?,"alive"
"Quaro","dothraki",?,?,?,"dead"
"Quellon Botley","ironborn",Botley,?,?,"alive"
"Quellon Greyjoy","ironborn",Greyjoy,?,"Lord","dead"
"Quellon Humble","ironborn",Humble,?,?,"alive"
"Quence","braavosi",?,?,?,"alive"
"Quent","northmen",Stark,?,?,"alive"
"Quenten Banefort",?,Banefort,?,"Lord","alive"
"Quentin Tyrell",?,Tyrell,?,"Ser","dead"
"Quenton Greyjoy","ironborn",Greyjoy,?,?,"alive"
"Quenton Hightower",?,Hightower,?,"Lord","dead"
"Quentyn Ball",?,Ball,?,"Ser","dead"
"Quentyn Blackwood",?,Blackwood,?,"Lord","dead"
"Quentyn Martell","dornish",Martell,781,"Prince","dead"
"Quentyn Qorgyle",?,Qorgyle,?,"Lord","alive"
"Quhuru Mo",?,?,?,?,"alive"
"Quickfinger",?,Blackfyre,?,?,"alive"
"Quill","braavosi",?,?,?,"alive"
"Quincy Cox",?,Cox,?,"Knight","alive"
"Quort",?,?,785,?,"dead"
"Qyburn",?,Lannister,717,"Master","alive"
"Qyle",?,?,?,?,"dead"
"Racallio Ryndoon","tyroshi",?,?,?,"alive"
"Rafe",?,?,?,?,"alive"
"Rafford",?,Clegane,?,?,"dead"
"Ragnor Pyke","ironborn",Greyjoy,?,?,"alive"
"Ragwyle","freefolk",?,?,?,"alive"
"Rainbow Knight",?,?,?,?,"alive"
"Rakharo","dothraki",Targaryen,?,"Bloodrider","alive"
"Ralf (Limper)",?,?,?,?,"alive"
"Ralf (Lordsport)",?,?,?,?,"alive"
"Ralf (Shepherd)",?,?,?,?,"alive"
"Ralf Kenning","ironborn",Kenning,?,"Commander","dead"
"Ralf Stonehouse","ironborn",Stonehouse,?,"Captain","alive"
"Ramsay Snow",?,Bolton,782,"Lord","alive"
"Randa",?,?,?,?,"dead"
"Randyll Tarly",?,Tarly,?,"Master","alive"
"Rast",?,?,?,?,"dead"
"Rat Cook",?,?,?,?,"alive"
"Rattleshirt",?,?,?,?,"alive"
"Ravella Swann",?,Swann,?,"Lady","alive"
"Raventree Hall",?,?,?,?,"alive"
"Rawney",?,?,?,?,"alive"
"Raymar Royce",?,Royce,?,"Lord","alive"
"Raymond Nayland",?,Nayland,?,"Ser","alive"
"Raymun","freefolk",?,?,"King","dead"
"Raymun Darry",?,Darry,?,"Lord","dead"
"Raymun Fossoway",?,Fossoway,?,"Ser","alive"
"Raymund Frey",?,Frey,764,"Ser","alive"
"Raymund Tyrell",?,Tyrell,?,?,"alive"
"Raynald Westerling",?,Westerling,?,"Ser","dead"
"Raynard",?,?,?,"Septon","alive"
"Raynard Ruttiger",?,Ruttiger,?,"Ser","alive"
"Red Alyn of the Rosewood",?,?,?,?,"dead"
"Red Oarsman","ironborn",?,?,?,"alive"
"Red Rolfe",?,Greyjoy,?,?,"dead"
"Redtusk",?,?,?,?,"alive"
"Redwyn",?,?,?,?,"alive"
"Reek",?,Bolton,?,?,"dead"
"Regenard Estren",?,Estren,?,"Lord","alive"
"Renfred Rykker",?,Rykker,?,"Lord","alive"
"Renly Baratheon",?,Baratheon,777,"King","dead"
"Renly Norcross",?,Norcross,796,?,"alive"
"Rennifer Longwaters",?,Baratheon,?,?,"alive"
"Reynard Webber",?,Webber,?,"Lord","alive"
"Reysen",?,?,?,?,"alive"
"Reznak mo Reznak","ghiscari",Targaryen,?,?,"alive"
"Rhae Targaryen",?,Targaryen,701,"Princess","alive"
"Rhaegar Frey",?,Frey,769,?,"dead"
"Rhaegar Targaryen","valyrian",Targaryen,759,"Prince","dead"
"Rhaegel Targaryen",?,Targaryen,673,"Prince","dead"
"Rhaego",?,Targaryen,798,?,"dead"
"Rhaella Targaryen",?,Targaryen,745,"Princess","dead"
"Rhaelle Targaryen",?,Targaryen,729,"Princess","alive"
"Rhaena Targaryen (daughter of Aegon III)",?,Targaryen,647,"Septa","alive"
"Rhaena Targaryen (daughter of Daemon)",?,Targaryen,616,"Lady","alive"
"Rhaenys Targaryen","valyrian",Targaryen,475,"Queen","dead"
"Rhaenys Targaryen (daughter of Aemon)","valyrian",Targaryen,574,"Princess","dead"
"Rhaenys Targaryen (daughter of Rhaegar)",?,Targaryen,780,?,"dead"
"Rhea Florent",?,Florent,?,?,"alive"
"Rhea Royce",?,Royce,?,"Lady","dead"
"Rhialta Vance",?,Vance,?,?,"alive"
"Rhogoro","dothraki",?,?,"Khal","alive"
"Rhonda Rowan",?,Rowan,?,?,"alive"
"Ricasso",?,Martell,?,?,"alive"
"Richard Farrow",?,?,?,"Ser","dead"
"Richard Horpe",?,Horpe,?,"Ser","alive"
"Richard Lonmouth",?,Lonmouth,?,"Ser","alive"
"Rickard Karstark","northmen",Karstark,?,"Lord","dead"
"Rickard Ryswell","northmen",Ryswell,?,?,"alive"
"Rickard Stark","northmen",Stark,727,"Lord","dead"
"Rickard Stark (King)",?,?,?,?,"alive"
"Rickard Thorne",?,Thorne,?,"Ser","alive"
"Rickard Tyrell",?,Tyrell,?,?,"alive"
"Rickard Wylde",?,Wylde,795,?,"alive"
"Rickon Stark","northmen",Stark,795,"Prince","alive"
"Rigney",?,?,?,"Archmaester","alive"
"Rills",?,?,?,?,"alive"
"Rob",?,Osgrey,?,?,"alive"
"Robar Royce",?,Royce,777,"Ser","dead"
"Robb Reyne",?,Reyne,?,"Ser","alive"
"Robb Stark",?,?,783,"King in the North","dead"
"Robert Arryn",?,Arryn,792,"Lord","alive"
"Robert Ashford",?,Ashford,?,"Ser","alive"
"Robert Baratheon",?,?,?,?,"alive"
"Robert Brax",?,Brax,?,"Ser","dead"
"Robert Brax (son of Flement)",?,Brax,790,?,"alive"
"Robert Flowers",?,?,?,"King","alive"
